TaxonPath	TaxID	ResolutionSource
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium erythreum	2041	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium ginsengisoli	363867	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium halocynthiae	560557	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium lacus	2233852	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium marinum	219314	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium massiliense	1033730	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium panaciterrae	363861	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium phoceense	2754045	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium stalagmiti	2738988	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium tamlense	375541	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium terrae	2498846	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium yanjiei	2662028	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides	1839	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides jensenii	1843	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Propionicimonas	236052	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Propionicimonas;Propionicimonas paludicola	185243	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	31957	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	1912216	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium modestum	2559073	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Microlunatus	29404	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Microlunatus;Microlunatus sagamiharensis	546874	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales	2495578	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae	85033	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Longivirga	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Longivirga;Longivirga aurantiaca	1837743	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Sporichthya	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Sporichthya;Sporichthya brevicatena	171442	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Sporichthya;Sporichthya polymorpha	1048339	assignment
Bacteria;Bacillati;Actinomycetota;Thermoleophilia	1497346	source_cache
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Miltoncostaeales	2843198	source_cache
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Miltoncostaeales;Miltoncostaeaceae	2843199	source_cache
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Miltoncostaeales;Miltoncostaeaceae;Miltoncostaea	2843200	source_cache
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Miltoncostaeales;Miltoncostaeaceae;Miltoncostaea;Miltoncostaea marina	2843215	source_cache
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales	588673	source_cache
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Conexibacteraceae	320583	source_cache
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter	191494	source_cache
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter arvalis	912552	source_cache
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae	0	unresolved
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae;Parviterribacter	0	unresolved
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae;Parviterribacter;Parviterribacter kavangonensis	1640865	assignment
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Patulibacteraceae	361606	source_cache
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Patulibacteraceae;Patulibacter	361607	source_cache
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Patulibacteraceae;Patulibacter;Patulibacter brassicae	1705717	assignment
Bacteria;Bacillati;Bacillota	1239	source_cache
Bacteria;Bacillati;Bacillota;Bacilli	91061	source_cache
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales	0	unresolved
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Alicyclobacillaceae	186823	source_cache
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus	0	unresolved
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus;Alicyclobacillus pomorum	204470	assignment
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Anoxybacillaceae	3120669	source_cache
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Anoxybacillaceae;Geobacillus	129337	source_cache
