SampleID	Depth	RankCode	NodeName	TaxonPath	TaxID	Status	ResolutionSource
Helga-16SrRNA-NCBI	4	C	Saprospiria	Bacteria;Pseudomonadati;Bacteroidota;Saprospiria	1937959	Resolved	source_cache
Helga-16SrRNA-NCBI	5	O	Saprospirales	Bacteria;Pseudomonadati;Bacteroidota;Saprospiria;Saprospirales	1936988	Resolved	source_cache
Helga-16SrRNA-NCBI	6	F	Lewinellaceae	Bacteria;Pseudomonadati;Bacteroidota;Saprospiria;Saprospirales;Lewinellaceae	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	7	G	Flavilitoribacter	Bacteria;Pseudomonadati;Bacteroidota;Saprospiria;Saprospirales;Lewinellaceae;Flavilitoribacter	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Flavilitoribacter nigricans	Bacteria;Pseudomonadati;Bacteroidota;Saprospiria;Saprospirales;Lewinellaceae;Flavilitoribacter;Flavilitoribacter nigricans	70997	Resolved	assignment
Helga-16SrRNA-NCBI	6	F	Haliscomenobacteraceae	Bacteria;Pseudomonadati;Bacteroidota;Saprospiria;Saprospirales;Haliscomenobacteraceae	1937961	Resolved	source_cache
Helga-16SrRNA-NCBI	7	G	Haliscomenobacter	Bacteria;Pseudomonadati;Bacteroidota;Saprospiria;Saprospirales;Haliscomenobacteraceae;Haliscomenobacter	2349	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Haliscomenobacter hydrossis	Bacteria;Pseudomonadati;Bacteroidota;Saprospiria;Saprospirales;Haliscomenobacteraceae;Haliscomenobacter;Haliscomenobacter hydrossis	2350	Resolved	source_cache
Helga-16SrRNA-NCBI	4	C	Sphingobacteriia	Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	5	O	Sphingobacteriales	Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	6	F	Sphingobacteriaceae	Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	7	G	Solitalea	Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Solitalea canadensis	Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;Solitalea canadensis	929556	Resolved	assignment
Helga-16SrRNA-NCBI	4	C	Bacteroidia	Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia	200643	Resolved	source_cache
Helga-16SrRNA-NCBI	5	O	Bacteroidales	Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales	171549	Resolved	source_cache
Helga-16SrRNA-NCBI	6	F	Dysgonomonadaceae	Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae	2005520	Resolved	source_cache
Helga-16SrRNA-NCBI	7	G	Proteiniphilum	Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum	294702	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Proteiniphilum saccharofermentans	Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;Proteiniphilum saccharofermentans	1642647	Resolved	source_cache
Helga-16SrRNA-NCBI	3	P	Planctomycetota	Bacteria;Pseudomonadati;Planctomycetota	203682	Resolved	source_cache
Helga-16SrRNA-NCBI	4	C	Planctomycetia	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia	203683	Resolved	source_cache
Helga-16SrRNA-NCBI	5	O	Pirellulales	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales	2691354	Resolved	source_cache
Helga-16SrRNA-NCBI	6	F	Pirellulaceae	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae	2691357	Resolved	source_cache
Helga-16SrRNA-NCBI	7	G	Roseimaritima	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Roseimaritima	1579506	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Roseimaritima multifibrata	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Roseimaritima;Roseimaritima multifibrata	1930274	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Roseimaritima sediminicola	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Roseimaritima;Roseimaritima sediminicola	2662066	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Roseimaritima ulvae	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Roseimaritima;Roseimaritima ulvae	980254	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Novipirellula	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Novipirellula	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Novipirellula galeiformis	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Novipirellula;Novipirellula galeiformis	2528004	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Novipirellula caenicola	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Novipirellula;Novipirellula caenicola	1536901	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Novipirellula rosea	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Novipirellula;Novipirellula rosea	1031540	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Novipirellula aureliae	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Novipirellula;Novipirellula aureliae	2527966	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Roseiconus	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Roseiconus	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Roseiconus nitratireducens	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Roseiconus;Roseiconus nitratireducens	2605748	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Aureliella	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Aureliella	2795605	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Aureliella helgolandensis	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Aureliella;Aureliella helgolandensis	2527968	Resolved	source_cache
Helga-16SrRNA-NCBI	7	G	Rhodopirellula	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Rhodopirellula baltica	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica	243090	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Lignipirellula	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Lignipirellula	2795775	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Lignipirellula cremea	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Lignipirellula;Lignipirellula cremea	2528010	Resolved	source_cache
Helga-16SrRNA-NCBI	7	G	Anatilimnocola	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Anatilimnocola	2807414	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Anatilimnocola aggregata	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Anatilimnocola;Anatilimnocola aggregata	2528021	Resolved	source_cache
Helga-16SrRNA-NCBI	7	G	Rubripirellula	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rubripirellula	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Rubripirellula lacrimiformis	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rubripirellula;Rubripirellula lacrimiformis	1930273	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Bremerella	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Bremerella	2714594	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Bremerella volcania	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Bremerella;Bremerella volcania	2527984	Resolved	source_cache
Helga-16SrRNA-NCBI	6	F	Lacipirellulaceae	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae	2691359	Resolved	source_cache
Helga-16SrRNA-NCBI	7	G	Lacipirellula	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Lacipirellula	2691417	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Lacipirellula limnantheis	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Lacipirellula;Lacipirellula limnantheis	2528024	Resolved	source_cache
