dataset	min_identity	min_ref_coverage	classified_reads	newly_rescued_reads	remaining_unclassified	classified_pct	rescued_pct_of_baseline_unclassified
BGRN	85	90	112353	4748	12130	90.2557	28.1313
BGRN	85	89	113102	5497	11381	90.8574	32.5690
BGRN	85	88	114412	6807	10071	91.9097	40.3306
BGRN	85	87	115414	7809	9069	92.7147	46.2673
BGRN	85	86	116641	9036	7842	93.7003	53.5371
BGRN	85	85	118377	10772	6106	95.0949	63.8227
BGRN	85	84	120108	12503	4375	96.4855	74.0787
BGRN	85	83	120694	13089	3789	96.9562	77.5507
BGRN	85	82	120944	13339	3539	97.1570	79.0319
BGRN	85	81	121211	13606	3272	97.3715	80.6138
BGRN	85	80	121506	13901	2977	97.6085	82.3617
BGRN	84	90	112537	4932	11946	90.4035	29.2215
BGRN	84	89	113286	5681	11197	91.0052	33.6592
BGRN	84	88	114596	6991	9887	92.0576	41.4208
BGRN	84	87	115600	7995	8883	92.8641	47.3694
BGRN	84	86	116830	9225	7653	93.8522	54.6569
BGRN	84	85	118575	10970	5908	95.2540	64.9959
BGRN	84	84	120313	12708	4170	96.6501	75.2933
BGRN	84	83	120902	13297	3581	97.1233	78.7830
BGRN	84	82	121155	13550	3328	97.3265	80.2820
BGRN	84	81	121424	13819	3059	97.5426	81.8758
BGRN	84	80	121721	14116	2762	97.7812	83.6355
BGRN	83	90	112589	4984	11894	90.4453	29.5296
BGRN	83	89	113338	5733	11145	91.0470	33.9673
BGRN	83	88	114648	7043	9835	92.0993	41.7289
BGRN	83	87	115653	8048	8830	92.9067	47.6834
BGRN	83	86	116886	9281	7597	93.8972	54.9887
BGRN	83	85	118633	11028	5850	95.3006	65.3395
BGRN	83	84	120375	12770	4108	96.7000	75.6606
BGRN	83	83	120967	13362	3516	97.1755	79.1681
BGRN	83	82	121221	13616	3262	97.3796	80.6731
BGRN	83	81	121490	13885	2993	97.5957	82.2669
BGRN	83	80	121794	14189	2689	97.8399	84.0680
BGRN	82	90	112603	4998	11880	90.4565	29.6125
BGRN	82	89	113352	5747	11131	91.0582	34.0502
BGRN	82	88	114663	7058	9820	92.1114	41.8178
BGRN	82	87	115669	8064	8814	92.9195	47.7782
BGRN	82	86	116903	9298	7580	93.9108	55.0895
BGRN	82	85	118656	11051	5827	95.3190	65.4758
BGRN	82	84	120400	12795	4083	96.7200	75.8087
BGRN	82	83	120992	13387	3491	97.1956	79.3163
BGRN	82	82	121249	13644	3234	97.4021	80.8390
BGRN	82	81	121519	13914	2964	97.6190	82.4387
BGRN	82	80	121829	14224	2654	97.8680	84.2754
BGRN	81	90	112631	5026	11852	90.4790	29.7784
BGRN	81	89	113380	5775	11103	91.0807	34.2161
BGRN	81	88	114692	7087	9791	92.1347	41.9896
BGRN	81	87	115698	8093	8785	92.9428	47.9500
BGRN	81	86	116934	9329	7549	93.9357	55.2731
BGRN	81	85	118689	11084	5794	95.3455	65.6713
BGRN	81	84	120441	12836	4042	96.7530	76.0517
BGRN	81	83	121034	13429	3449	97.2293	79.5651
BGRN	81	82	121292	13687	3191	97.4366	81.0937
BGRN	81	81	121563	13958	2920	97.6543	82.6994
BGRN	81	80	121879	14274	2604	97.9081	84.5716
BGRN	80	90	112653	5048	11830	90.4967	29.9088
BGRN	80	89	113403	5798	11080	91.0992	34.3524
BGRN	80	88	114715	7110	9768	92.1531	42.1258
BGRN	80	87	115722	8117	8761	92.9621	48.0922
BGRN	80	86	116958	9353	7525	93.9550	55.4153
BGRN	80	85	118715	11110	5768	95.3664	65.8253
BGRN	80	84	120468	12863	4015	96.7747	76.2116
BGRN	80	83	121061	13456	3422	97.2510	79.7251
BGRN	80	82	121319	13714	3164	97.4583	81.2537
BGRN	80	81	121591	13986	2892	97.6768	82.8653
BGRN	80	80	121907	14302	2576	97.9306	84.7375
